0,2
0,3
0,5
1,6
1,8
1,9
2,0
2,3
2,10
3,0
3,2
3,4
3,10
4,3
4,5
4,12
5,0
5,4
5,6
6,1
6,5
6,7
7,6
7,8
7,13
8,1
8,7
8,9
8,11
9,1
9,8
9,11
10,2
10,3
10,14
11,8
11,9
11,17
12,4
12,13
12,15
13,7
13,12
13,16
14,10
14,15
14,17
14,20
15,14
15,12
15,18
16,13
16,17
16,19
17,11
17,14
17,16
17,23
18,15
18,19
18,21
19,16
19,18
19,22
20,14
20,21
20,24
20,30
21,18
21,20
21,26
22,19
22,23
22,27
23,17
23,22
23,29
23,31
24,20
24,25
24,30
25,24
25,26
25,32
26,21
26,25
26,27
27,22
27,26
27,28
28,27
28,29
28,33
29,23
29,28
29,31
30,20
30,24
30,32
31,23
31,29
31,33
32,30
32,25
32,33
33,28
33,31
33,32
